   1.0000000e+02   1.8448300e+00   6.3089100e-02
   1.0000000e+01   1.6543300e-01   1.0308800e-01
   1.0000000e+00   1.6137700e-02   1.3154200e-01
   1.0000000e-01   4.2520100e-03   1.7562100e-01
   1.0000000e-02   5.4166400e-04   2.6784800e-01
   1.0000000e-03   4.6807400e-05   3.9593700e-01
   1.0000000e-04   1.9728500e-06   5.0972300e-01
   1.0000000e-05   1.1447500e-07   5.4661500e-01
   1.0000000e-06   5.0305100e-08   5.5860600e-01
   1.0000000e-07   4.5883100e-08   5.5958900e-01
   1.0000000e-08   4.5473600e-08   5.5972600e-01
