   1.0000000e+02   7.0250000e-01   4.9229300e-02   0.0000000e+00
   1.0000000e+01   2.5769200e-02   6.2361100e-02   0.0000000e+00
   1.0000000e+00   3.2337900e-03   6.9627600e-02   0.0000000e+00
   1.0000000e-01   8.6518300e-04   7.9903400e-02   0.0000000e+00
   1.0000000e-02   8.6209300e-05   9.9627300e-02   0.0000000e+00
   1.0000000e-03   5.4831600e-06   1.1653000e-01   0.0000000e+00
   1.0000000e-04   2.5677900e-07   1.2933600e-01   0.0000000e+00
   1.0000000e-05   1.0987700e-08   1.3516000e-01   0.0000000e+00
   1.0000000e-06   2.8150500e-10   1.3762900e-01   0.0000000e+00
   1.0000000e-07   1.1680600e-11   1.3820500e-01   0.0000000e+00
   1.0000000e-08   2.4629800e-12   1.3846500e-01   2.6716000e-12
