   1.0000000e-05   3.1666200e-04   8.0169600e-02   3.1746400e-04
   1.0000000e-04   3.1671200e-04   8.0077400e-02   3.2472000e-04
   1.0000000e-03   3.1727500e-04   7.9928100e-02   3.9720300e-04
   1.0000000e-02   3.2838300e-04   7.9345300e-02   1.1218400e-03
   1.0000000e-01   6.0144400e-04   7.6109100e-02   8.2123500e-03
   1.0000000e+00   1.4665500e-03   7.4171400e-02   7.5638000e-02
   2.0000000e+00   3.8823100e-03   7.2615600e-02   1.4911300e-01
   3.0000000e+00   7.9133900e-03   7.1117700e-02   2.2126600e-01
   4.0000000e+00   1.3545000e-02   6.9502800e-02   2.9155600e-01
   5.0000000e+00   1.8159200e-02   6.8586600e-02   3.6109200e-01
   6.0000000e+00   2.1106900e-02   6.8087200e-02   4.2963000e-01
   7.0000000e+00   2.4551600e-02   6.7689300e-02   4.9837700e-01
   8.0000000e+00   2.8445500e-02   6.7225800e-02   5.6625200e-01
   9.0000000e+00   3.2827200e-02   6.6751500e-02   6.3359000e-01
   1.0000000e+01   3.7665300e-02   6.6048000e-02   6.9814600e-01
   1.0000000e+02   4.9921900e-01   5.7074100e-02   6.2066300e+00
   1.0000000e+03   1.9394000e+00   5.1879400e-02   5.3818800e+01
   1.0000000e+04   1.8525700e+01   4.2531600e-02   4.4384200e+02
   1.0000000e+05   1.8525800e+01   4.2516100e-02   4.2701400e+03
